"variety_a","variety_b","variety_c","best","worst","var_a","var_b","var_c","lon","lat","season","year","planting_date"
"BRT 103-182","SJC 730-79","PM2 Don Rey","C","A","Worse","Worse","Better",-85.729,13.138,"Ap15",2015,2015-12-18
"INTA Rojo","INTA Centro Sur","INTA Sequia","B","A","Worse","Better","Better",-85.375,13.331,"Ap15",2015,2015-12-18
"INTA Ferroso","INTA Matagalpa","BRT 103-182","A","C","Better","Worse","Worse",-85.369,13.329,"Ap15",2015,2015-12-18
"INTA Centro Sur","INTA Rojo","ALS 0532-6","B","C","Better","Better","Better",-85.358,13.332,"Ap15",2015,2015-12-18
"INTA Sequia","PM2 Don Rey","SJC 730-79","B","C","Better","Better","Better",-85.368,13.332,"Ap15",2015,2015-12-20
"ALS 0532-6","INTA Matagalpa","INTA Rojo","A","C","Better","Better","Better",-85.368,13.331,"Ap15",2015,2015-12-20
"PM2 Don Rey","INTA Sequia","INTA Centro Sur","A","C","Better","Worse","Worse",-85.361,13.328,"Ap15",2015,2015-12-20
"INTA Precoz","SJC 730-79","INTA Ferroso","C","B","Worse","Better","Worse",-85.373,13.332,"Ap15",2015,2015-12-18
"BRT 103-182","INTA Matagalpa","INTA Rojo","C","B","Better","Better","Better",-85.357,13.336,"Ap15",2015,2015-12-18
"INTA Sequia","INTA Centro Sur","INTA Matagalpa","B","C","Worse","Worse","Worse",-85.36,13.331,"Ap15",2015,2015-12-16
"INTA Precoz","INTA Ferroso","INTA Centro Sur","B","A","Worse","Better","Better",-85.375,13.332,"Ap15",2015,2015-12-18
"SJC 730-79","BRT 103-182","INTA Matagalpa","B","A","Worse","Better","Better",-85.342,13.336,"Ap15",2015,2015-12-18
"ALS 0532-6","INTA Sequia","INTA Rojo","A","C","Better","Worse","Better",-85.367,13.332,"Ap15",2015,2015-12-18
"PM2 Don Rey","INTA Ferroso","INTA Centro Sur","A","C","Better","Better","Better",-85.453,13.194,"Ap15",2015,2015-12-23
