"id","country","district","gender","trial","item_A","item_B","item_C","best_overall","worst_overall","best_taste","worst_taste","best_color","worst_color","best_describe","worst_describe","community","age","geno_test","region"
6,"Uganda","Gulu","Woman","community","NASPOT 10 (Kabode)","NASPOT 12","NASPOT 13","B","A","C","B","B","C","It has high dry matter content","not too sweet",NA,NA,NA,NA
18,"Uganda","Gulu","Woman","community","Kakamega","NASPOT 8","NASPOT 13","B","A","B","C","C","B","nice, sweet","sweet",NA,NA,NA,NA
24,"Uganda","Gulu","Man","community","NASPOT 13","NASPOT 10 (Kabode)","Kakamega","A","C","A","C","B","A","sweet","wet",NA,NA,NA,NA
25,"Uganda","Gulu","Man","community","NASPOT 12","NASPOT 10 (Kabode)","NASPOT 13","A","B","A","B","C","A","very sweet and nice","it is wet and not sweet",NA,NA,NA,NA
27,"Uganda","Gulu","Man","community","Ejumula","NASPOT 13","NASPOT 12","A","B","A","B","C","A","it is sweet, moderately hard",NA,NA,NA,NA,NA
56,"Uganda","Gulu","Woman","community","Kakamega","NASPOT 12","NASPOT 10 (Kabode)","A","C","A","C","A","C","It is good and dry","It has a bad smell",NA,NA,NA,NA
62,"Uganda","Gulu","Man","community","NASPOT 13","Kakamega","NASPOT 10 (Kabode)","B","A","B","A","C","B","good smell and sweet","nt nice",NA,NA,NA,NA
63,"Uganda","Gulu","Woman","community","NASPOT 12","Ejumula","NASPOT 8","B","A","B","A","C","B","sweetness and soft","not sweet",NA,NA,NA,NA
73,"Uganda","Gulu","Woman","community","NASPOT 10 (Kabode)","NASPOT 13","Kakamega","C","B","C","B","A","C","sweet and moderately hard","not swet and wet",NA,NA,NA,NA
74,"Uganda","Gulu","Woman","community","Kakamega","Ejumula","NASPOT 10 (Kabode)","B","C","B","C","B","A","very good and sweet","It is sweet but so soft",NA,NA,NA,NA
77,"Uganda","Gulu","Woman","community","NASPOT 10 (Kabode)","Ejumula","Kakamega","B","C","B","C","B","A","sweet and nice","bad smell",NA,NA,NA,NA
88,"Uganda","Gulu","Woman","community","NASPOT 8","NASPOT 10 (Kabode)","Kakamega","C","B","C","B","A","C","Its sweet and palatable","It's  fibrous and watery",NA,NA,NA,NA
108,"Uganda","Gulu","Woman","community","Ejumula","NASPOT 13","Kakamega","C","A","C","A","C","B","Has high dry matter contebt","It has a bad sme;;",NA,NA,NA,NA
109,"Uganda","Gulu","Woman","community","Kakamega","NASPOT 10 (Kabode)","NASPOT 8","C","B","C","B","C","A","very good and nice","so soft and has some smell",NA,NA,NA,NA
113,"Uganda","Gulu","Woman","community","Ejumula","Kakamega","NASPOT 12","A","C","A","C","A","B","so sweet and good","bad taste and has some smell",NA,NA,NA,NA
4,"Uganda","Gulu","Man","community","NASPOT 10 (Kabode)","Ejumula","NASPOT 8","B","C","B","C","A","B","Sweet, crunchy and suitable for breakfast with simisim paste for tea","sweet, soft, with fibres",NA,NA,NA,NA
5,"Uganda","Gulu","Woman","community","NASPOT 12","NASPOT 13","Ejumula","C","B","C","B","A","C","Sweet","Watery",NA,NA,NA,NA
8,"Uganda","Gulu","Woman","community","NASPOT 8","Ejumula","NASPOT 12","B","A","B","A","C","B","Good smell and sweet","Wet",NA,NA,NA,NA
12,"Uganda","Gulu","Woman","community","Kakamega","NASPOT 8","NASPOT 12","B","C","B","C","A","B","Nice","Nice and sweet",NA,NA,NA,NA
16,"Uganda","Gulu","Woman","community","NASPOT 12","Kakamega","NASPOT 10 (Kabode)","A","C","B","A","B","A","Sweetand has high dry matter","Low dry matter",NA,NA,NA,NA
19,"Uganda","Gulu","Woman","community","NASPOT 10 (Kabode)","NASPOT 12","NASPOT 13","B","A","B","A","C","A","Not wet but sweet","Very wet and not sweet",NA,NA,NA,NA
20,"Uganda","Gulu","Woman","community","Kakamega","NASPOT 12","NASPOT 10 (Kabode)","B","C","B","C","A","B","It tastes nice","It's tasteless",NA,NA,NA,NA
26,"Uganda","Gulu","Woman","community","NASPOT 10 (Kabode)","Ejumula","NASPOT 12","B","A","B","A","C","B","Sweet","It's not sweet and wet",NA,NA,NA,NA
28,"Uganda","Gulu","Woman","community","NASPOT 13","Kakamega","NASPOT 10 (Kabode)","A","B","C","B","A","C","Very good","It's not sweet",NA,NA,NA,NA
29,"Uganda","Gulu","Woman","community","Kakamega","NASPOT 12","NASPOT 8","C","A","C","A","C","A","Very nice","It's not sweet an the color is not good",NA,NA,NA,NA
32,"Uganda","Gulu","Woman","community","NASPOT 10 (Kabode)","NASPOT 13","Kakamega","B","A","B","A","B","C","Very sweet","It's so soft",NA,NA,NA,NA
33,"Uganda","Gulu","Woman","community","NASPOT 12","NASPOT 8","Ejumula","A","B","C","A","A","B","Has a good smell and high dry matter content","Has a low dry matter content",NA,NA,NA,NA
34,"Uganda","Gulu","Woman","community","Kakamega","NASPOT 10 (Kabode)","NASPOT 13","B","C","B","C","A","B","It's sweet","It's watery",NA,NA,NA,NA
35,"Uganda","Gulu","Woman","community","NASPOT 12","NASPOT 10 (Kabode)","NASPOT 13","C","A","C","A","B","C","It's sweet and the smell is good","the smell",NA,NA,NA,NA
39,"Uganda","Gulu","Woman","community","Ejumula","NASPOT 8","NASPOT 12","A","B","A","B","C","A","It's sweet","Bad smell and fibrous",NA,NA,NA,NA
43,"Uganda","Gulu","Woman","community","Ejumula","NASPOT 13","NASPOT 8","C","B","C","B","A","C","Sweet","Watery",NA,NA,NA,NA
47,"Uganda","Gulu","Woman","community","NASPOT 8","NASPOT 13","NASPOT 12","C","B","C","B","C","A","Sweet and good","Not sweet",NA,NA,NA,NA
50,"Uganda","Gulu","Woman","community","Ejumula","NASPOT 13","Kakamega","A","B","A","B","A","B","Tastes sweet and has good dry matter","Has low dry matter content",NA,NA,NA,NA
53,"Uganda","Gulu","Man","community","NASPOT 8","Ejumula","Kakamega","B","A","B","A","C","B","Sweet","Not sweet",NA,NA,NA,NA
57,"Uganda","Gulu","Woman","community","Kakamega","NASPOT 8","NASPOT 10 (Kabode)","B","C","B","C","A","B","Sweet, nice","Sweet",NA,NA,NA,NA
58,"Uganda","Gulu","Woman","community","NASPOT 13","NASPOT 12","Ejumula","C","A","C","A","B","C","Sweetness","Watery and not sweet",NA,NA,NA,NA
64,"Uganda","Gulu","Woman","community","Ejumula","NASPOT 12","NASPOT 13","A","C","B","A","A","B","Sweet, dry matter content is good","It is wet",NA,NA,NA,NA
65,"Uganda","Gulu","Woman","community","NASPOT 12","Kakamega","NASPOT 8","C","B","C","B","A","C","Sweetness","Not sweet",NA,NA,NA,NA
66,"Uganda","Gulu","Man","community","NASPOT 8","NASPOT 12","NASPOT 13","B","C","B","C","B","A","Very nice and sweet","So soft and wet",NA,NA,NA,NA
67,"Uganda","Gulu","Man","community","NASPOT 10 (Kabode)","Kakamega","Ejumula","B","A","B","A","C","B","Very sweet and nice","Wet and full of threads",NA,NA,NA,NA
68,"Uganda","Gulu","Woman","community","Kakamega","NASPOT 10 (Kabode)","NASPOT 13","C","A","C","A","B","C","It's sweet","It's watery",NA,NA,NA,NA
69,"Uganda","Gulu","Woman","community","NASPOT 8","Ejumula","NASPOT 13","B","C","B","A","B","A","It's sweet and nice","It has low dry matter content",NA,NA,NA,NA
70,"Uganda","Gulu","Woman","community","NASPOT 12","NASPOT 13","NASPOT 10 (Kabode)","B","C","B","C","A","B","It smells good","Watery",NA,NA,NA,NA
71,"Uganda","Gulu","Woman","community","NASPOT 13","Kakamega","NASPOT 10 (Kabode)","B","C","B","C","A","B","It's sweet, smells good","It's watery and has a bad smell",NA,NA,NA,NA
72,"Uganda","Gulu","Woman","community","NASPOT 10 (Kabode)","NASPOT 8","NASPOT 13","B","C","B","C","A","B","Sweet","Too sweet",NA,NA,NA,NA
80,"Uganda","Gulu","Woman","community","Kakamega","NASPOT 10 (Kabode)","NASPOT 8","C","B","C","B","A","C","Sweet","Watery",NA,NA,NA,NA
84,"Uganda","Gulu","Woman","community","Kakamega","Ejumula","NASPOT 13","A","C","A","C","B","A","Moderately hard and sweet","Not sweet and very wet",NA,NA,NA,NA
